file,function,search,min,mean,max
kroa,random_cycle,Steepest,6.350368976593018,7.265877408981323,9.388173818588257
kroa,random_cycle,SearchMemory,5.287551641464233,6.3650412535667416,7.503504991531372
kroa,random_cycle,SearchCandidates,2.303196430206299,2.525700125694275,2.9777328968048096
krob,random_cycle,Steepest,6.3219006061553955,7.10662793636322,8.009110689163208
krob,random_cycle,SearchMemory,5.536609172821045,6.353144719600677,7.5184102058410645
krob,random_cycle,SearchCandidates,2.3062219619750977,2.495444943904877,2.804131031036377
